E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;;Total
2017;19. Vicálvaro;193. Valderrivas;76
2017;19. Vicálvaro;194. El Cañaveral;65
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;1.687
2017;20. San Blas-Canillejas;201. Simancas;419
2017;20. San Blas-Canillejas;202. Hellín;179
2017;20. San Blas-Canillejas;203. Amposta;151
2017;20. San Blas-Canillejas;204. Arcos;247
2017;20. San Blas-Canillejas;205. Rosas;152
2017;20. San Blas-Canillejas;206. Rejas;191
2017;20. San Blas-Canillejas;207. Canillejas;272
2017;20. San Blas-Canillejas;208. El Salvador;76
2017;21. Barajas;21. Barajas;406
2017;21. Barajas;211. Alameda de Osuna;158
2017;21. Barajas;212. Aeropuerto;18
2017;21. Barajas;213. Casco Histórico de Barajas;69
2017;21. Barajas;214. Timón;89
2017;21. Barajas;215. Corralejos;72
2017;00. No consta;00. No consta;1.632
2018;Ciudad de Madrid;Ciudad de Madrid;38.330
2018;01. Centro;01. Centro;2.649
2018;01. Centro;011. Palacio;227
2018;01. Centro;012. Embajadores;1.026
2018;01. Centro;013. Cortes;228
2018;01. Centro;014. Justicia;445
2018;01. Centro;015. Universidad;609
2018;01. Centro;016. Sol;114
2018;02. Arganzuela;02. Arganzuela;1.252
2018;02. Arganzuela;021. Imperial;160
2018;02. Arganzuela;022. Acacias;61
2018;02. Arganzuela;023. Chopera;229
2018;02. Arganzuela;024. Legazpi;177
2018;02. Arganzuela;025. Delicias;285
2018;02. Arganzuela;026. Palos de la Frontera;336
2018;02. Arganzuela;027. Atocha;4
2018;03. Retiro;03. Retiro;1.298
2018;03. Retiro;031. Pacífico;372
2018;03. Retiro;032. Adelfas;159
2018;03. Retiro;033. Estrella;190
2018;03. Retiro;034. Ibiza;333
2018;03. Retiro;035. Los Jerónimos;116
2018;03. Retiro;036. Niño Jesús;128
2018;04. Salamanca;04. Salamanca;2.115
2018;04. Salamanca;041. Recoletos;248
2018;04. Salamanca;042. Goya;420
2018;04. Salamanca;043. Fuente del Berro;301
2018;04. Salamanca;044. Guindalera;593
2018;04. Salamanca;045. Lista;336
2018;04. Salamanca;046. Castellana;217
2018;05. Chamartín;05. Chamartín;1.531
2018;05. Chamartín;051. El Viso;190
2018;05. Chamartín;052. Prosperidad;419
2018;05. Chamartín;053. Ciudad Jardín;281
2018;05. Chamartín;054. Hispanoamérica;297
2018;05. Chamartín;055. Nueva España;202
2018;05. Chamartín;056. Castilla;142
2018;06. Tetuán;06. Tetuán;2.475
2018;06. Tetuán;061. Bellas Vistas;463
2018;06. Tetuán;062. Cuatro Caminos;484
2018;06. Tetuán;063. Castillejos;282
2018;06. Tetuán;064. Almenara;570
2018;06. Tetuán;065. Valdeacederas;373
2018;06. Tetuán;066. Berruguete;303
2018;07. Chamberí;07. Chamberí;1.618
2018;07. Chamberí;071. Gaztambide;313
2018;07. Chamberí;072. Arapiles;366
2018;07. Chamberí;073. Trafalgar;396
2018;07. Chamberí;074. Almagro;253
2018;07. Chamberí;075. Ríos Rosas;394
2018;07. Chamberí;076. Vallehermoso;209
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.270
2018;08. Fuencarral-El Pardo;081. El Pardo;45
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;37
2018;08. Fuencarral-El Pardo;083. Peñagrande;501
2018;08. Fuencarral-El Pardo;084. Pilar;209
2018;08. Fuencarral-El Pardo;085. La Paz;198
2018;08. Fuencarral-El Pardo;086. Valverde;674
2018;08. Fuencarral-El Pardo;087. Mirasierra;360
2018;08. Fuencarral-El Pardo;088. El Goloso;246
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.606
2018;09. Moncloa-Aravaca;091. Casa de Campo;119
