E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;;Total
2024;11. Carabanchel;113. San Isidro;385
2024;11. Carabanchel;114. Vista Alegre;448
2024;11. Carabanchel;115. Puerta Bonita;453
2024;11. Carabanchel;116. Buenavista;644
2024;11. Carabanchel;117. Abrantes;325
2024;12. Usera;12. Usera;903
2024;12. Usera;121. Orcasitas;149
2024;12. Usera;122. Orcasur;40
2024;12. Usera;123. San Fermín;221
2024;12. Usera;124. Almendrales;122
2024;12. Usera;125. Moscardó;189
2024;12. Usera;126. Zofío;153
2024;12. Usera;127. Pradolongo;29
2024;13. Puente de Vallecas;13. Puente de Vallecas;2.528
2024;13. Puente de Vallecas;131. Entrevías;328
2024;13. Puente de Vallecas;132. San Diego;551
2024;13. Puente de Vallecas;133. Palomeras Bajas;350
2024;13. Puente de Vallecas;134. Palomeras Sureste;465
2024;13. Puente de Vallecas;135. Portazgo;297
2024;13. Puente de Vallecas;136. Numancia;..
2024;14. Moratalaz;14. Moratalaz;751
2024;14. Moratalaz;141. Pavones;57
2024;14. Moratalaz;142. Horcajo;17
2024;14. Moratalaz;143. Marroquina;188
2024;14. Moratalaz;144. Media Legua;134
2024;14. Moratalaz;145. Fontarrón;184
2024;14. Moratalaz;146. Vinateros;171
2024;15. Ciudad Lineal;15. Ciudad Lineal;2.707
2024;15. Ciudad Lineal;151. Ventas;593
2024;15. Ciudad Lineal;152. Pueblo Nuevo;760
2024;15. Ciudad Lineal;153. Quintana;336
2024;15. Ciudad Lineal;154. La Concepción;302
2024;15. Ciudad Lineal;155. San Pascual;216
2024;15. Ciudad Lineal;156. San Juan Bautista;152
2024;15. Ciudad Lineal;157. Colina;111
2024;15. Ciudad Lineal;158. Atalaya;23
2024;15. Ciudad Lineal;159. Costillares;214
2024;16. Hortaleza;16. Hortaleza;1.674
2024;16. Hortaleza;161. Palomas;54
2024;16. Hortaleza;162. Piovera;109
2024;16. Hortaleza;163. Canillas;324
2024;16. Hortaleza;164. Pinar del Rey;452
2024;16. Hortaleza;165. Apóstol Santiago;138
2024;16. Hortaleza;166. Valdefuentes;596
2024;17. Villaverde;17. Villaverde;917
2024;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";96
2024;17. Villaverde;172. San Cristóbal;294
2024;17. Villaverde;173. Butarque;136
2024;17. Villaverde;174. Los Rosales;325
2024;17. Villaverde;175. Ángeles;66
2024;18. Villa de Vallecas;18. Villa de Vallecas;1.197
2024;18. Villa de Vallecas;181. Casco Histórico de Vallecas;382
2024;18. Villa de Vallecas;182. Santa Eugenia;157
2024;18. Villa de Vallecas;183. Ensanche de Vallecas;658
2024;19. Vicálvaro;19. Vicálvaro;1.227
2024;19. Vicálvaro;191. Casco Histórico de Vicálvaro;474
2024;19. Vicálvaro;192. Valdebernardo;41
2024;19. Vicálvaro;193. Valderrivas;85
2024;19. Vicálvaro;194. El Cañaveral;626
2024;20. San Blas-Canillejas;20. San Blas-Canillejas;1.883
2024;20. San Blas-Canillejas;201. Simancas;412
2024;20. San Blas-Canillejas;202. Hellín;183
2024;20. San Blas-Canillejas;203. Amposta;154
2024;20. San Blas-Canillejas;204. Arcos;276
2024;20. San Blas-Canillejas;205. Rosas;161
2024;20. San Blas-Canillejas;206. Rejas;229
2024;20. San Blas-Canillejas;207. Canillejas;395
2024;20. San Blas-Canillejas;208. El Salvador;73
2024;21. Barajas;21. Barajas;402
2024;21. Barajas;211. Alameda de Osuna;132
2024;21. Barajas;212. Aeropuerto;18
2024;21. Barajas;213. Casco Histórico de Barajas;109
2024;21. Barajas;214. Timón;85
2024;21. Barajas;215. Corralejos;58
2024;00. No consta;00. No consta;0
2025;Ciudad de Madrid;Ciudad de Madrid;39.213
2025;01. Centro;01. Centro;2.731
2025;01. Centro;011. Palacio;406
2025;01. Centro;012. Embajadores;910
2025;01. Centro;013. Cortes;249
2025;01. Centro;014. Justicia;380
2025;01. Centro;015. Universidad;646
2025;01. Centro;016. Sol;140
2025;02. Arganzuela;02. Arganzuela;1.978
2025;02. Arganzuela;021. Imperial;276
2025;02. Arganzuela;022. Acacias;221
2025;02. Arganzuela;023. Chopera;197
2025;02. Arganzuela;024. Legazpi;178
2025;02. Arganzuela;025. Delicias;301
2025;02. Arganzuela;026. Palos de la Frontera;344
2025;02. Arganzuela;027. Atocha;461
2025;03. Retiro;03. Retiro;1.364
2025;03. Retiro;031. Pacífico;409
2025;03. Retiro;032. Adelfas;192
2025;03. Retiro;033. Estrella;171
2025;03. Retiro;034. Ibiza;334
2025;03. Retiro;035. Los Jerónimos;130
2025;03. Retiro;036. Niño Jesús;128
2025;04. Salamanca;04. Salamanca;2.357
2025;04. Salamanca;041. Recoletos;263
2025;04. Salamanca;042. Goya;629
2025;04. Salamanca;043. Fuente del Berro;328
2025;04. Salamanca;044. Guindalera;555
2025;04. Salamanca;045. Lista;372
2025;04. Salamanca;046. Castellana;210
2025;05. Chamartín;05. Chamartín;1.914
2025;05. Chamartín;051. El Viso;224
2025;05. Chamartín;052. Prosperidad;451
2025;05. Chamartín;053. Ciudad Jardín;260
2025;05. Chamartín;054. Hispanoamérica;375
2025;05. Chamartín;055. Nueva España;328
2025;05. Chamartín;056. Castilla;276
2025;06. Tetuán;06. Tetuán;3.912
2025;06. Tetuán;061. Bellas Vistas;453
2025;06. Tetuán;062. Cuatro Caminos;468
2025;06. Tetuán;063. Castillejos;327
2025;06. Tetuán;064. Almenara;249
2025;06. Tetuán;065. Valdeacederas;2.015
2025;06. Tetuán;066. Berruguete;400
2025;07. Chamberí;07. Chamberí;1.877
2025;07. Chamberí;071. Gaztambide;338
2025;07. Chamberí;072. Arapiles;302
2025;07. Chamberí;073. Trafalgar;399
2025;07. Chamberí;074. Almagro;298
2025;07. Chamberí;075. Ríos Rosas;338
2025;07. Chamberí;076. Vallehermoso;202
2025;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.196
2025;08. Fuencarral-El Pardo;081. El Pardo;35
2025;08. Fuencarral-El Pardo;082. Fuentelarreina;31
2025;08. Fuencarral-El Pardo;083. Peñagrande;457
2025;08. Fuencarral-El Pardo;084. Pilar;432
2025;08. Fuencarral-El Pardo;085. La Paz;201
2025;08. Fuencarral-El Pardo;086. Valverde;580
2025;08. Fuencarral-El Pardo;087. Mirasierra;340
2025;08. Fuencarral-El Pardo;088. El Goloso;120
2025;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.257
2025;09. Moncloa-Aravaca;091. Casa de Campo;119
2025;09. Moncloa-Aravaca;092. Argüelles;305
2025;09. Moncloa-Aravaca;093. Ciudad Universitaria;169
2025;09. Moncloa-Aravaca;094. Valdezarza;320
2025;09. Moncloa-Aravaca;095. Valdemarín;68
2025;09. Moncloa-Aravaca;096. El Plantío;30
2025;09. Moncloa-Aravaca;097. Aravaca;246
2025;10. Latina;10. Latina;2.522
2025;10. Latina;101. Los Cármenes;159
2025;10. Latina;102. Puerta del Ángel;512
2025;10. Latina;103. Lucero;389
2025;10. Latina;104. Aluche;675
2025;10. Latina;105. Campamento;203
2025;10. Latina;106. Cuatro Vientos;116
2025;10. Latina;107. Águilas;468
2025;11. Carabanchel;11. Carabanchel;2.693
2025;11. Carabanchel;111. Comillas;243
2025;11. Carabanchel;112. Opañel;352
2025;11. Carabanchel;113. San Isidro;471
2025;11. Carabanchel;114. Vista Alegre;477
2025;11. Carabanchel;115. Puerta Bonita;404
2025;11. Carabanchel;116. Buenavista;451
2025;11. Carabanchel;117. Abrantes;295
2025;12. Usera;12. Usera;975
2025;12. Usera;121. Orcasitas;118
2025;12. Usera;122. Orcasur;44
2025;12. Usera;123. San Fermín;212
2025;12. Usera;124. Almendrales;208
2025;12. Usera;125. Moscardó;215
2025;12. Usera;126. Zofío;137
2025;12. Usera;127. Pradolongo;41
2025;13. Puente de Vallecas;13. Puente de Vallecas;2.977
2025;13. Puente de Vallecas;131. Entrevías;374
2025;13. Puente de Vallecas;132. San Diego;737
2025;13. Puente de Vallecas;133. Palomeras Bajas;385
2025;13. Puente de Vallecas;134. Palomeras Sureste;472
2025;13. Puente de Vallecas;135. Portazgo;334
2025;13. Puente de Vallecas;136. Numancia;675
2025;14. Moratalaz;14. Moratalaz;738
2025;14. Moratalaz;141. Pavones;71
2025;14. Moratalaz;142. Horcajo;19
2025;14. Moratalaz;143. Marroquina;174
2025;14. Moratalaz;144. Media Legua;145
2025;14. Moratalaz;145. Fontarrón;156
2025;14. Moratalaz;146. Vinateros;173
2025;15. Ciudad Lineal;15. Ciudad Lineal;2.566
2025;15. Ciudad Lineal;151. Ventas;593
2025;15. Ciudad Lineal;152. Pueblo Nuevo;757
2025;15. Ciudad Lineal;153. Quintana;316
2025;15. Ciudad Lineal;154. La Concepción;220
2025;15. Ciudad Lineal;155. San Pascual;168
2025;15. Ciudad Lineal;156. San Juan Bautista;153
2025;15. Ciudad Lineal;157. Colina;76
2025;15. Ciudad Lineal;158. Atalaya;30
2025;15. Ciudad Lineal;159. Costillares;253
2025;16. Hortaleza;16. Hortaleza;1.649
2025;16. Hortaleza;161. Palomas;77
2025;16. Hortaleza;162. Piovera;108
2025;16. Hortaleza;163. Canillas;312
2025;16. Hortaleza;164. Pinar del Rey;502
2025;16. Hortaleza;165. Apóstol Santiago;174
2025;16. Hortaleza;166. Valdefuentes;476
2025;17. Villaverde;17. Villaverde;903
2025;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";114
2025;17. Villaverde;172. San Cristóbal;258
2025;17. Villaverde;173. Butarque;160
2025;17. Villaverde;174. Los Rosales;308
2025;17. Villaverde;175. Ángeles;63
2025;18. Villa de Vallecas;18. Villa de Vallecas;1.326
2025;18. Villa de Vallecas;181. Casco Histórico de Vallecas;384
2025;18. Villa de Vallecas;182. Santa Eugenia;215
2025;18. Villa de Vallecas;183. Ensanche de Vallecas;727
2025;19. Vicálvaro;19. Vicálvaro;1.035
2025;19. Vicálvaro;191. Casco Histórico de Vicálvaro;428
2025;19. Vicálvaro;192. Valdebernardo;46
2025;19. Vicálvaro;193. Valderrivas;209
2025;19. Vicálvaro;194. El Cañaveral;352
2025;20. San Blas-Canillejas;20. San Blas-Canillejas;1.793
2025;20. San Blas-Canillejas;201. Simancas;427
2025;20. San Blas-Canillejas;202. Hellín;167
2025;20. San Blas-Canillejas;203. Amposta;150
2025;20. San Blas-Canillejas;204. Arcos;242
2025;20. San Blas-Canillejas;205. Rosas;143
2025;20. San Blas-Canillejas;206. Rejas;253
2025;20. San Blas-Canillejas;207. Canillejas;298
2025;20. San Blas-Canillejas;208. El Salvador;113
2025;21. Barajas;21. Barajas;450
2025;21. Barajas;211. Alameda de Osuna;180
2025;21. Barajas;212. Aeropuerto;16
2025;21. Barajas;213. Casco Histórico de Barajas;112
2025;21. Barajas;214. Timón;77
2025;21. Barajas;215. Corralejos;65
2025;00. No consta;00. No consta;0
;
;
Fuente: Colegio de Registradores de España
"Observaciones: ""Tasa de cobertura:  La información recoge el 96,8% de las transmisiones de 2007;97,6% de 2008;98,1% de 2009;96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;98,1% de 2009; 96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;96,1% de 2015;97,3% de 2016;97,1% de 2017;98,0% de 2018; 98,4% de 2019; 95,3% de 2020;95,6% del 2021,97,5% de 2022;97,5 de 2023 y 97,7 de 2024 y 2025 (compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios.

"
