anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,barrio_oficial,seccion_num,codigo_seccion
2017,2,Arganzuela,5,Delicias,025,25,61,02061
2017,2,Arganzuela,5,Delicias,025,25,62,02062
2017,2,Arganzuela,5,Delicias,025,25,63,02063
2017,2,Arganzuela,5,Delicias,025,25,97,02097
2017,2,Arganzuela,5,Delicias,025,25,98,02098
2017,2,Arganzuela,5,Delicias,025,25,105,02105
2017,2,Arganzuela,5,Delicias,025,25,106,02106
2017,2,Arganzuela,6,Palos de la Frontera,026,26,64,02064
2017,2,Arganzuela,6,Palos de la Frontera,026,26,65,02065
2017,2,Arganzuela,6,Palos de la Frontera,026,26,66,02066
2017,2,Arganzuela,6,Palos de la Frontera,026,26,67,02067
2017,2,Arganzuela,6,Palos de la Frontera,026,26,68,02068
2017,2,Arganzuela,6,Palos de la Frontera,026,26,69,02069
2017,2,Arganzuela,6,Palos de la Frontera,026,26,70,02070
2017,2,Arganzuela,6,Palos de la Frontera,026,26,71,02071
2017,2,Arganzuela,6,Palos de la Frontera,026,26,72,02072
2017,2,Arganzuela,6,Palos de la Frontera,026,26,73,02073
2017,2,Arganzuela,6,Palos de la Frontera,026,26,74,02074
2017,2,Arganzuela,6,Palos de la Frontera,026,26,75,02075
2017,2,Arganzuela,6,Palos de la Frontera,026,26,77,02077
2017,2,Arganzuela,6,Palos de la Frontera,026,26,78,02078
2017,2,Arganzuela,6,Palos de la Frontera,026,26,79,02079
2017,2,Arganzuela,6,Palos de la Frontera,026,26,80,02080
2017,2,Arganzuela,6,Palos de la Frontera,026,26,81,02081
2017,2,Arganzuela,6,Palos de la Frontera,026,26,82,02082
2017,2,Arganzuela,7,Atocha,027,27,83,02083
2017,3,Retiro,1,Pacífico,031,31,1,03001
2017,3,Retiro,1,Pacífico,031,31,2,03002
2017,3,Retiro,1,Pacífico,031,31,3,03003
2017,3,Retiro,1,Pacífico,031,31,4,03004
2017,3,Retiro,1,Pacífico,031,31,5,03005
2017,3,Retiro,1,Pacífico,031,31,6,03006
2017,3,Retiro,1,Pacífico,031,31,7,03007
2017,3,Retiro,1,Pacífico,031,31,8,03008
2017,3,Retiro,1,Pacífico,031,31,9,03009
2017,3,Retiro,1,Pacífico,031,31,10,03010
2017,3,Retiro,1,Pacífico,031,31,11,03011
2017,3,Retiro,1,Pacífico,031,31,12,03012
2017,3,Retiro,1,Pacífico,031,31,13,03013
2017,3,Retiro,1,Pacífico,031,31,14,03014
2017,3,Retiro,1,Pacífico,031,31,15,03015
2017,3,Retiro,1,Pacífico,031,31,16,03016
2017,3,Retiro,1,Pacífico,031,31,17,03017
2017,3,Retiro,1,Pacífico,031,31,18,03018
2017,3,Retiro,1,Pacífico,031,31,19,03019
2017,3,Retiro,1,Pacífico,031,31,20,03020
2017,3,Retiro,1,Pacífico,031,31,21,03021
2017,3,Retiro,1,Pacífico,031,31,22,03022
2017,3,Retiro,1,Pacífico,031,31,23,03023
2017,3,Retiro,1,Pacífico,031,31,89,03089
2017,3,Retiro,1,Pacífico,031,31,95,03095
2017,3,Retiro,1,Pacífico,031,31,96,03096
2017,3,Retiro,2,Adelfas,032,32,24,03024
2017,3,Retiro,2,Adelfas,032,32,25,03025
2017,3,Retiro,2,Adelfas,032,32,26,03026
