anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,densidad,poblacion_total_panel,tamano_hogar,monop_mujer,monop_hombre,n_hogares,envejecimiento,sobreenvejecimiento,migrantes,pct_extranjeros_ue_ocde,nac_espanola_pct,nac_espanola,nac_extranjera_pct,nac_extranjera,nivel_estudios_superiores_pct,nivel_estudios_superiores
2017,2,Arganzuela,5,Delicias,025,258.5,27263,2.390442788250778,229,60,11405,0.16681949895462714,0.3577396657871592,0.07306606022814804,0.03363532993434325,0.8932986098375088,24354,0.10670139016249129,2909,0.34758276899924756,7391
2017,2,Arganzuela,6,Palos de la Frontera,026,394.48,25580,2.196462304653954,153,19,11646,0.20347928068803753,0.3921229586935639,0.09753713838936669,0.04155590304925723,0.8608678655199374,22021,0.13909304143862392,3558,0.3260675109458123,6926
2017,2,Arganzuela,7,Atocha,027,15.07,1109,2.6404761904761895,13,6,420,0.09377817853922453,0.2596153846153846,0.019837691614066726,0.020739404869251576,0.9594229035166817,1064,0.0405770964833183,45,0.24607329842931938,188
2017,3,Retiro,1,Pacífico,031,443.51,33629,2.3046189692982373,247,64,14592,0.24270718724910048,0.3620436167605979,0.04849980671444289,0.030241755627583335,0.9212584376579738,30981,0.07874156234202623,2648,0.367389399912396,10065
2017,3,Retiro,2,Adelfas,032,283.23,18149,2.4315380493033185,121,35,7464,0.2012232078902419,0.3231106243154436,0.03961650779657282,0.025786544713207335,0.9345969474902198,16962,0.06540305250978015,1187,0.3628281705792471,5224
2017,3,Retiro,3,Estrella,033,225.86,23163,2.693685312245618,106,28,8599,0.2999611449294133,0.2989349453080023,0.018995812286836767,0.01666450805163407,0.9643396796615291,22337,0.03566032033847084,826,0.432364028002154,8029
2017,3,Retiro,4,Ibiza,034,433.91,21347,2.3145397376124808,159,41,9223,0.24893427647913058,0.4034625517500941,0.04853140956574694,0.04351899564341594,0.9079495947908371,19382,0.09205040520916288,1965,0.4255639969842835,7338
2017,3,Retiro,5,Los Jerónimos,035,37,7053,2.5144385026737974,39,14,2805,0.26797107613781374,0.3978835978835979,0.03516234226570254,0.059265560754288946,0.9055720969800085,6387,0.09442790301999149,666,0.47632215693052193,2756
2017,3,Retiro,6,Niño Jesús,036,235.9,15175,2.7244165170556567,84,23,5570,0.2617462932454695,0.3240181268882175,0.023327841845140033,0.025436573311367384,0.9512355848434926,14435,0.04876441515650742,740,0.5176824034334764,6031
2017,4,Salamanca,1,Recoletos,041,177.68,15514,2.342443001660878,102,36,6623,0.22631171844785355,0.3389347764169752,0.06349104035065102,0.08083021786773238,0.8556787417816166,13275,0.1443212582183834,2239,0.5621263532073033,6958
2017,4,Salamanca,2,Goya,042,380.02,29273,2.239024017133244,193,47,13074,0.23601954019061935,0.3685048487480098,0.061455949168175455,0.056195128616814125,0.8823489222150104,25829,0.11765107778498958,3444,0.47658610271903323,11358
2017,4,Salamanca,3,Fuente del Berro,043,241.44,20585,2.263331500824633,154,29,9095,0.2476560602380374,0.38485680659081994,0.06135535584163225,0.04605295117804227,0.8925916929803255,18374,0.10740830701967452,2211,0.3752218672346468,6342
2017,4,Salamanca,4,Guindalera,044,253.65,40655,2.3524476333757596,256,50,17282,0.24919444102816382,0.4247359589379133,0.05445824621817734,0.038568441766080444,0.9069733120157423,36873,0.09302668798425778,3782,0.42602079481039135,14054
2017,4,Salamanca,5,Lista,045,399.01,20757,2.273493975903612,153,37,9130,0.2390037095919449,0.37895585567425927,0.07438454497278027,0.059064412005588485,0.8665510430216312,17987,0.13344895697836875,2770,0.48278129857706564,8075
2017,4,Salamanca,6,Castellana,046,220.02,17016,2.4675174013921164,68,20,6896,0.22725669957686884,0.3638479441427463,0.086212976022567,0.06846497414198402,0.845322049835449,14384,0.15467795016455102,2632,0.5382008399027481,7305
2017,5,Chamartin,1,El Viso,051,99.82,17061,2.8242012911769585,74,30,6041,0.21300041029247993,0.37176664832140893,0.05949240958912139,0.048648965476818476,0.8918586249340601,15216,0.10814137506593986,1845,0.5443950314368962,7100
