ventana,anio_t0,anio_t1,codigo_barrio,barrio_nombre,indice_gentrificacion
B,2018,2020,124,Almendrales,-0.09781182881216101
B,2018,2020,125,Moscardó,-0.1492950670231255
B,2018,2020,126,Zofío,-0.18741722296015295
B,2018,2020,127,Pradolongo,-0.23442823378922223
B,2018,2020,131,Entrevías,-0.21642951907601882
B,2018,2020,132,San Diego,0.014428753532457256
B,2018,2020,133,Palomeras Bajas,-0.16076769244993086
B,2018,2020,134,Palomeras Sureste,-0.2008346904304849
B,2018,2020,135,Portazgo,-0.20530247559998754
B,2018,2020,136,Numancia,-0.026405736087262096
B,2018,2020,141,Pavones,0.04256536786005625
B,2018,2020,142,Horcajo,-0.255580486470933
B,2018,2020,143,Marroquina,-0.1855333099831347
B,2018,2020,144,Media Legua,-0.11227469942551349
B,2018,2020,145,Fontarrón,-0.1282567682113398
B,2018,2020,146,Vinateros,-0.11889457013176816
B,2018,2020,151,Ventas,0.018661778604798784
B,2018,2020,152,Pueblo Nuevo,-0.052214621662028664
B,2018,2020,153,Quintana,0.1822008397268995
B,2018,2020,154,La Concepción,0.09576132048074269
B,2018,2020,155,San Pascual,-0.010300982468399271
B,2018,2020,156,San Juan Bautista,0.23393532038373197
B,2018,2020,157,Colina,0.19609312990344813
B,2018,2020,158,Atalaya,0.11732550615028386
B,2018,2020,159,Costillares,-0.026917684083987897
B,2018,2020,161,Palomas,0.15026383645722347
B,2018,2020,162,Piovera,0.394389712898381
B,2018,2020,163,Canillas,-0.07954501493557056
B,2018,2020,164,Pinar del Rey,-0.09267888179363358
B,2018,2020,165,Apóstol Santiago,0.022900034801737187
B,2018,2020,166,Valdefuentes,0.051933362210351545
B,2018,2020,171,"Villaverde Alto, Casco Histórico de Villaverde",-0.13376692176344948
B,2018,2020,172,San Cristóbal,-0.25815269126009804
B,2018,2020,173,Butarque,-0.18017718844079736
B,2018,2020,174,Los Rosales,-0.22920192931465302
B,2018,2020,175,Ángeles,-0.18653280732668107
B,2018,2020,181,Casco Histórico de Vallecas,-0.17473396453718848
B,2018,2020,182,Santa Eugenia,-0.12046245796632106
B,2018,2020,183,Ensanche de Vallecas,0.06584082524571268
B,2018,2020,191,Casco Histórico de Vicálvaro,-0.0378546608061029
B,2018,2020,192,Valdebernardo,-0.6761836768107017
B,2018,2020,193,Valderrivas,-0.6676407242162717
B,2018,2020,201,Simancas,0.040538425805932435
B,2018,2020,202,Hellín,-0.16361178745021338
B,2018,2020,203,Amposta,-0.08268522846581908
B,2018,2020,204,Arcos,-0.13798927654038548
B,2018,2020,205,Rosas,-0.2157866591785999
B,2018,2020,206,Rejas,-0.6818148132011176
B,2018,2020,207,Canillejas,-0.05262863845421313
B,2018,2020,208,El Salvador,-0.023347141921664382
B,2018,2020,211,Alameda de Osuna,-0.1356685454704513
B,2018,2020,212,Aeropuerto,-0.16039825886955042
B,2018,2020,213,Casco Histórico de Barajas,0.04147564142874836
B,2018,2020,214,Timón,-0.07615521684439863
B,2018,2020,215,Corralejos,-0.12646162534153474
C,2019,2021,011,Palacio,0.7673947735137258
C,2019,2021,012,Embajadores,0.9067495716316547
C,2019,2021,013,Cortes,1.0560965507150604
C,2019,2021,014,Justicia,1.1987895343625574
C,2019,2021,015,Universidad,1.034145426284688
C,2019,2021,016,Sol,1.0679301252082594
C,2019,2021,021,Imperial,0.09032714337858144
C,2019,2021,022,Acacias,0.07817268921237099
C,2019,2021,023,Chopera,0.08909788202392425
C,2019,2021,024,Legazpi,0.10446265606400736
C,2019,2021,025,Delicias,0.24596030929691862
C,2019,2021,026,Palos de la Frontera,0.364677949402719
C,2019,2021,027,Atocha,0.37434630876432395
C,2019,2021,031,Pacífico,0.1404740789540676
C,2019,2021,032,Adelfas,0.06462731298808308
C,2019,2021,033,Estrella,-0.1360251998170698
C,2019,2021,034,Ibiza,0.413496716964343
C,2019,2021,035,Los Jerónimos,0.3916684921924534
C,2019,2021,036,Niño Jesús,0.05664527117677024
C,2019,2021,041,Recoletos,0.913460585852609
C,2019,2021,042,Goya,0.6235481729383003
C,2019,2021,043,Fuente del Berro,0.37295403437944663
C,2019,2021,044,Guindalera,0.3065407520748081
C,2019,2021,045,Lista,0.5736087109048515
C,2019,2021,046,Castellana,0.7222471690583743
C,2019,2021,051,El Viso,0.47199506746921943
C,2019,2021,052,Prosperidad,0.18160268782136726
C,2019,2021,053,Ciudad Jardín,0.31676209614773965
C,2019,2021,054,Hispanoamérica,0.18461872675256016
C,2019,2021,055,Nueva España,0.31987536381745857
C,2019,2021,056,Castilla,0.2612985876862492
C,2019,2021,061,Bellas Vistas,0.1713086576210627
C,2019,2021,062,Cuatro Caminos,0.35096492031016446
C,2019,2021,063,Castillejos,0.36014235037949505
C,2019,2021,064,Almenara,0.07980015001616475
C,2019,2021,065,Valdeacederas,0.1811830880784275
C,2019,2021,066,Berruguete,0.18514984181622163
C,2019,2021,071,Gaztambide,0.49073756410429653
C,2019,2021,072,Arapiles,0.46180415697149263
C,2019,2021,073,Trafalgar,0.6670842148524454
C,2019,2021,074,Almagro,0.6690272291293308
C,2019,2021,075,Ríos Rosas,0.47083484352350663
C,2019,2021,076,Vallehermoso,0.18139743423450416
