anio,codigo_barrio,distancia_centro_lineal_m
2020,052,4228.473772625666
2020,156,5517.381509267848
2020,062,3851.772541242594
2020,161,8501.46490391082
2020,061,3909.9229672628644
2020,054,4821.909268153232
2020,162,7272.732325749381
2020,157,5876.295736381089
2020,066,4696.8582372321225
2020,211,10536.67663481015
2020,063,4865.913979796185
2020,097,7562.302874208347
2020,158,6201.670718009656
2020,055,5520.4265188656
2020,163,7296.312864197992
2020,215,9762.83872924395
2020,094,5430.4959712467935
2020,065,5518.012250818581
2020,064,5985.2780487589325
2020,095,8461.673852404916
2020,213,12378.237526796634
2020,093,5161.047179825196
2020,096,11456.239375587471
2020,164,7830.265113595043
2020,165,7594.745484802367
2020,056,6669.055768164209
2020,159,7261.6630548985795
2020,084,6654.963594575406
2020,083,7057.610223581704
2020,085,7117.797309101631
2020,082,7753.5321488741565
2020,214,10920.45258282059
2020,212,13762.923551699036
2020,166,10287.171310638792
2020,087,8861.590582904815
2020,086,9459.745172148323
2020,088,13001.86708747171
2020,081,15968.221312001373
2020,191,11070.107694737308
2020,194,13555.04820544874
2021,172,8593.622960340828
2021,173,9220.484973883558
2021,175,6844.387300119114
2021,174,6973.898784029635
2021,171,8429.326864195527
2021,121,5444.820287906102
2021,183,10345.169175936604
2021,116,6594.790383780321
2021,106,8640.707907451917
2021,123,5347.446157717271
2021,181,10796.278894705025
2021,122,5034.764058844293
2021,126,4309.52279835841
2021,127,4353.234073261076
2021,117,4633.638141225011
2021,115,5104.261850367837
2021,124,3761.5800879559033
2021,182,8760.143846746487
2021,114,5063.086324920521
2021,131,5421.836615386178
2021,107,6885.975485017603
2021,134,6728.434776921601
2021,133,5299.0997356729995
2021,024,3482.173002857998
2021,125,3148.6442045488893
2021,112,3342.757631033908
2021,132,4343.126330531005
2021,135,5623.0531374149605
2021,111,2716.7136162936577
2021,105,9136.382852802442
2021,023,2545.018386497575
2021,025,2594.8558234431603
2021,104,5246.164022823681
2021,141,6486.612033542536
2021,193,8888.946624552194
2021,113,3059.153889680385
2021,192,7725.9439756577085
2021,136,4377.421684034425
2021,032,3369.150445677532
2021,022,1817.5811850440869
2021,031,2621.7747784918915
2021,026,1750.0535321095113
2021,145,5210.58502616521
2021,027,2733.936865934582
2021,101,3189.554446727571
2021,146,5433.702059193246
2021,103,4227.863163252316
2021,142,6656.046390097287
2021,021,1701.7018392735265
2021,012,913.3758849186464
2021,143,5474.216389082998
2021,036,2715.894782460416
2021,102,2462.022580849945
2021,144,4094.469073486074
2021,013,710.3836290668983
2021,016,0
2021,033,3330.2473893528722
2021,035,1693.9135147130908
2021,034,2569.6134139034625
2021,011,834.2995407682666
2021,204,7390.381611996103
2021,042,2696.9525342198763
2021,203,7068.520027681723
2021,014,971.425331535661
2021,041,1781.6869772844016
2021,015,952.2311828537734
2021,043,3556.017728248135
2021,151,4882.186885724673
2021,202,7594.896097053899
2021,092,1653.689031051321
2021,045,2933.1991116906975
2021,152,5945.604598047828
2021,046,2491.069128422304
2021,074,1961.8300992174234
2021,073,1749.3437824392968
2021,072,1920.4473957863156
2021,071,2139.2733803959786
2021,153,5499.8856458525215
2021,201,7030.432034855219
2021,044,3851.5103356300488
2021,154,5286.907708726859
2021,075,2846.104985761997
2021,076,2895.9649447630973
2021,155,5179.583350579988
2021,207,8480.24735908624
2021,205,9425.773254341555
