anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,z_pct_pob_25_39,z_pct_extranjeros_ue_ocde,z_nivel_estudios_superiores_pct,z_renta_neta_media_persona,z_pct_hog_unipersonal_bajo65,z_precio_vivienda_declarado_barrio
2017,5,Chamartin,6,Castilla,056,0.25067707726904304,-0.2304517610238575,0.9230350634320607,1.114190431793616,0.18980445073069793,0.4666969745208208
2017,6,Tetuan,1,Bellas Vistas,061,1.7525057152332664,0,-0.11551163693782943,-0.365963628415667,1.0109584025646678,-0.13754967530782178
2017,6,Tetuan,2,Cuatro Caminos,062,1.484634174250948,-0.10619438134979248,0.5764202310712085,0.5884136303328041,1.1354907728749177,0.4182072021489879
2017,6,Tetuan,3,Castillejos,063,1.5173347871163336,0.28937040126961666,0.5959945478352769,0.8644192851888194,1.4037428229055784,0.6425160599060056
2017,6,Tetuan,4,Almenara,064,0.8995246916300047,-0.9475785424543213,-0.2937780163644724,-0.4029092672546612,0.885613341236943,-0.16638081619348583
2017,6,Tetuan,5,Valdeacederas,065,2.046733830430394,0.3798491066087675,-0.33795501951321094,-0.5609372518685102,1.3351175884385331,-0.34494102400683063
2017,6,Tetuan,6,Berruguete,066,1.5836716707899907,0.040641990164068525,-0.2656077150192348,-0.47850811647562824,1.204595733726013,-0.22495427439522678
2017,7,Chamberi,1,Gaztambide,071,0.8870535962402748,0.5961308753282679,0.8320251600457731,0.7810587471361309,1.2056304066605508,1.0223627343345896
2017,7,Chamberi,2,Arapiles,072,1.293262636838869,0.7943048983133906,0.7371829510352896,0.7335572114859955,1.3102984230732762,1.0750211388755633
2017,7,Chamberi,3,Trafalgar,073,1.9923188631073594,1.8444962940183152,0.8372441716369606,0.7979792287892836,2.13741916383079,1.4230905352934804
