iteracion,ventana_test,codigo_barrio,actual,pred,modelo
3,D,046,0.5690202335231567,0.5783049420659043,rf
3,D,053,0.18921928023733808,0.26327768164647186,rf
3,D,062,0.27277728761128134,0.3528982555538082,rf
3,D,071,0.2788695401091837,0.47150020012310484,rf
3,D,082,-0.09605116992647879,0.015556720352790595,rf
3,D,083,-0.1638780899168487,-0.06981038952657456,rf
3,D,096,0.0019595039063666497,0.13534141383957557,rf
3,D,107,-0.24778415756934927,-0.14881224843975602,rf
3,D,112,0.00830003478849322,-0.05118304850798146,rf
3,D,127,0.017098936321104194,-0.1734163908767582,rf
3,D,133,-0.15860720085047808,-0.16774263672192985,rf
3,D,141,-0.5416838922815517,-0.12279357416992683,rf
3,D,152,-0.05503030330654028,-0.07298981637213411,rf
3,D,157,0.07033664322440963,0.17301307380730735,rf
3,D,163,-0.16114237487532032,-0.08000802054391588,rf
3,D,172,-0.1473672910136071,-0.18319114592411892,rf
3,D,182,-0.26379328889429704,-0.15520933402410123,rf
3,D,192,-0.2601955928872667,-0.2507993957963344,rf
3,D,205,-0.19053375094794636,-0.14392519957964062,rf
3,D,206,0.05199485115788813,0.07262909414983797,rf
3,D,212,0.012221583885106536,-0.09462978984645537,rf
3,D,013,0.8551205448386401,0.9650675058364868,xgboost
3,D,022,0.10087398768831937,0.16132134199142456,xgboost
3,D,036,0.020219214372999294,0.07752024382352829,xgboost
3,D,046,0.5690202335231567,0.6142830848693848,xgboost
3,D,053,0.18921928023733808,0.29019296169281006,xgboost
3,D,062,0.27277728761128134,0.3724997937679291,xgboost
3,D,071,0.2788695401091837,0.46532753109931946,xgboost
3,D,082,-0.09605116992647879,-0.010484607890248299,xgboost
3,D,083,-0.1638780899168487,-0.08547227084636688,xgboost
3,D,096,0.0019595039063666497,0.1479668915271759,xgboost
3,D,107,-0.24778415756934927,-0.16738851368427277,xgboost
3,D,112,0.00830003478849322,-0.07264557480812073,xgboost
3,D,127,0.017098936321104194,-0.2796819508075714,xgboost
3,D,133,-0.15860720085047808,-0.19641628861427307,xgboost
3,D,141,-0.5416838922815517,-0.1309431940317154,xgboost
3,D,152,-0.05503030330654028,-0.05781664699316025,xgboost
3,D,157,0.07033664322440963,0.2526809275150299,xgboost
3,D,163,-0.16114237487532032,-0.1100463792681694,xgboost
3,D,172,-0.1473672910136071,-0.27059492468833923,xgboost
3,D,182,-0.26379328889429704,-0.20480313897132874,xgboost
3,D,192,-0.2601955928872667,-0.27082863450050354,xgboost
3,D,205,-0.19053375094794636,-0.2161324918270111,xgboost
3,D,206,0.05199485115788813,0.06694323569536209,xgboost
3,D,212,0.012221583885106536,-0.1629709005355835,xgboost
