anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,transacciones_vivienda_barrio,tasa_transacciones_vivienda
2018,12,Usera,1,Orcasitas,121,191,0.008447589562140645
2018,12,Usera,2,Orcasur,122,132,0.00969803835133348
2018,12,Usera,3,San Fermín,123,222,0.009538540861046661
2018,12,Usera,4,Almendrales,124,211,0.010017566348573327
2018,12,Usera,5,Moscardó,125,241,0.009334934345586242
2018,12,Usera,6,Zofío,126,96,0.006988934187536401
2018,12,Usera,7,Pradolongo,127,238,0.013768367465000578
2018,13,Puente de Vallecas,1,Entrevías,131,409,0.012005048577886054
2018,13,Puente de Vallecas,2,San Diego,132,679,0.016811508083884225
2018,13,Puente de Vallecas,3,Palomeras Bajas,133,314,0.007898178891236543
2018,13,Puente de Vallecas,4,Palomeras Sureste,134,410,0.00970597983050045
2018,13,Puente de Vallecas,5,Portazgo,135,273,0.00974304068522484
2018,13,Puente de Vallecas,6,Numancia,136,608,0.013026803505238575
2018,14,Moratalaz,1,Pavones,141,72,0.007897334649555774
2018,14,Moratalaz,2,Horcajo,142,23,0.0036340654131774373
2018,14,Moratalaz,3,Marroquina,143,147,0.0053575333479116555
2018,14,Moratalaz,4,Media Legua,144,144,0.008082168715271931
2018,14,Moratalaz,5,Fontarrón,145,189,0.011146496815286623
2018,14,Moratalaz,6,Vinateros,146,153,0.009072580645161291
2018,15,Ciudad Lineal,1,Ventas,151,582,0.012150313152400834
2018,15,Ciudad Lineal,2,Pueblo Nuevo,152,694,0.0113184160741079
2018,15,Ciudad Lineal,3,Quintana,153,319,0.013026788631166285
2018,15,Ciudad Lineal,4,La Concepción,154,261,0.0125047911077041
2018,15,Ciudad Lineal,5,San Pascual,155,183,0.010101010101010102
2018,15,Ciudad Lineal,6,San Juan Bautista,156,117,0.009398345248614347
2018,15,Ciudad Lineal,7,Colina,157,84,0.01333968556455455
2018,15,Ciudad Lineal,8,Atalaya,158,23,0.014603174603174604
2018,15,Ciudad Lineal,9,Costillares,159,163,0.007382915119123109
2018,16,Hortaleza,1,Palomas,161,62,0.009179745336097127
2018,16,Hortaleza,2,Piovera,162,146,0.009900990099009901
2018,16,Hortaleza,3,Canillas,163,360,0.008835439931279911
2018,16,Hortaleza,4,Pinar del Rey,164,627,0.011961768128660549
2018,16,Hortaleza,5,Apóstol Santiago,165,131,0.008560412990916814
2018,16,Hortaleza,6,Valdefuentes,166,1426,0.026241213058039822
2018,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,637,0.01432265317594154
2018,17,Villaverde,2,San Cristóbal,172,248,0.015949578751045083
2018,17,Villaverde,3,Butarque,173,217,0.011846271427011683
2018,17,Villaverde,4,Los Rosales,174,298,0.008037544503182652
2018,17,Villaverde,5,Ángeles,175,385,0.012594046450768727
2018,18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,326,0.008277052759863911
2018,18,Villa de Vallecas,2,Santa Eugenia,182,168,0.006899950714637753
2018,18,Villa de Vallecas,3,Ensanche de Vallecas,183,1044,0.0239136908170511
2018,19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,311,0.009093567251461989
2018,19,Vicalvaro,2,Valdebernardo,192,64,0.003628735045642683
2018,19,Vicalvaro,3,Valderrivas,193,100,0.005500550055005501
2018,19,Vicalvaro,4,El Cañaveral,194,294,0.3107822410147992
2018,20,San Blas-Canillejas,1,Simancas,201,498,0.0182157357620981
2018,20,San Blas-Canillejas,2,Hellín,202,144,0.016060673656033905
2018,20,San Blas-Canillejas,3,Amposta,203,151,0.018004053892929535
2018,20,San Blas-Canillejas,4,Arcos,204,240,0.009992505620784412
2018,20,San Blas-Canillejas,5,Rosas,205,170,0.005375324100423702
2018,20,San Blas-Canillejas,6,Rejas,206,171,0.010437648782274309
2018,20,San Blas-Canillejas,7,Canillejas,207,266,0.009302000279759406
2018,20,San Blas-Canillejas,8,El Salvador,208,103,0.009105374823196606
2018,21,Barajas,1,Alameda de Osuna,211,216,0.011091142490372272
2018,21,Barajas,2,Aeropuerto,212,19,0.010614525139664804
2018,21,Barajas,3,Casco Histórico de Barajas,213,99,0.013443780554046714
2018,21,Barajas,4,Timón,214,155,0.013189244383934649
2018,21,Barajas,5,Corralejos,215,106,0.0140807651434644
2019,1,Centro,1,Palacio,011,213,0.009267316394013226
2019,1,Centro,2,Embajadores,012,880,0.019369180991790108
2019,1,Centro,3,Cortes,013,198,0.018812351543942993
2019,1,Centro,4,Justicia,014,359,0.020866027317640222
2019,1,Centro,5,Universidad,015,612,0.01923983778175988
2019,1,Centro,6,Sol,016,84,0.011416145691764067
2019,2,Arganzuela,1,Imperial,021,124,0.005433353781438962
2019,2,Arganzuela,2,Acacias,022,32,8.67044192158669e-4
2019,2,Arganzuela,3,Chopera,023,94,0.004688747007182761
2019,2,Arganzuela,4,Legazpi,024,96,0.004879784476185635
2019,2,Arganzuela,5,Delicias,025,289,0.010418168709444845
2019,2,Arganzuela,6,Palos de la Frontera,026,330,0.012744265080713678
2019,2,Arganzuela,7,Atocha,027,6,0.00510204081632653
2019,3,Retiro,1,Pacífico,031,273,0.008108348926312037
2019,3,Retiro,2,Adelfas,032,310,0.016742276949665156
2019,3,Retiro,3,Estrella,033,136,0.005820671945217205
2019,3,Retiro,4,Ibiza,034,270,0.012437238011884472
2019,3,Retiro,5,Los Jerónimos,035,80,0.011317017965766021
2019,3,Retiro,6,Niño Jesús,036,103,0.006706165766000391
2019,4,Salamanca,1,Recoletos,041,161,0.010198910426960597
2019,4,Salamanca,2,Goya,042,324,0.010894784626248362
2019,4,Salamanca,3,Fuente del Berro,043,239,0.011324867323730099
2019,4,Salamanca,4,Guindalera,044,444,0.01063447582093842
2019,4,Salamanca,5,Lista,045,182,0.008651423682083947
2019,4,Salamanca,6,Castellana,046,174,0.010139269273352368
2019,5,Chamartin,1,El Viso,051,173,0.009985569985569986
2019,5,Chamartin,2,Prosperidad,052,380,0.010345766403484889
2019,5,Chamartin,3,Ciudad Jardín,053,223,0.011932152603135534
2019,5,Chamartin,4,Hispanoamérica,054,315,0.009900990099009901
2019,5,Chamartin,5,Nueva España,055,217,0.008785780800842139
2019,5,Chamartin,6,Castilla,056,125,0.007373326254940128
2019,6,Tetuan,1,Bellas Vistas,061,337,0.01152333732261925
2019,6,Tetuan,2,Cuatro Caminos,062,511,0.014709268854346574
2019,6,Tetuan,3,Castillejos,063,272,0.013223140495867768
2019,6,Tetuan,4,Almenara,064,290,0.01275173687450532
2019,6,Tetuan,5,Valdeacederas,065,396,0.015168345654422186
2019,6,Tetuan,6,Berruguete,066,342,0.01363147195982303
2019,7,Chamberi,1,Gaztambide,071,273,0.011871113623516111
2019,7,Chamberi,2,Arapiles,072,293,0.011950403784974304
2019,7,Chamberi,3,Trafalgar,073,350,0.014126003955281108
2019,7,Chamberi,4,Almagro,074,245,0.012337596938261659
2019,7,Chamberi,5,Ríos Rosas,075,329,0.01197888221372656
2019,7,Chamberi,6,Vallehermoso,076,202,0.009952209686160516
2019,8,Fuencarral-El Pardo,1,El Pardo,081,18,0.005194805194805195
2019,8,Fuencarral-El Pardo,2,Fuentelarreina,082,28,0.008557457212713936
2019,8,Fuencarral-El Pardo,3,Peñagrande,083,347,0.007776607426996257
2019,8,Fuencarral-El Pardo,4,Pilar,084,310,0.006655645490263435
2019,8,Fuencarral-El Pardo,5,La Paz,085,152,0.004491194894220541
2019,8,Fuencarral-El Pardo,6,Valverde,086,606,0.009564242988589195
2019,8,Fuencarral-El Pardo,7,Mirasierra,087,460,0.013977939165577805
2019,8,Fuencarral-El Pardo,8,El Goloso,088,171,0.009205426356589148
2019,9,Moncloa-Aravaca,1,Casa de Campo,091,108,0.008282208588957056
2019,9,Moncloa-Aravaca,2,Argüelles,092,235,0.009714356578892977
2019,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,101,0.006189863332720476
2019,9,Moncloa-Aravaca,4,Valdezarza,094,294,0.009869414884688978
2019,9,Moncloa-Aravaca,5,Valdemarín,095,62,0.009194720450837905
2019,9,Moncloa-Aravaca,6,El Plantío,096,18,0.006401137980085348
2019,9,Moncloa-Aravaca,7,Aravaca,097,205,0.007633019324570875
2019,10,Latina,1,Los Cármenes,101,146,0.008367721228794131
2019,10,Latina,2,Puerta del Angel,102,433,0.010339557763025933
2019,10,Latina,3,Lucero,103,377,0.010413214009501712
2019,10,Latina,4,Aluche,104,541,0.00813020348050855
2019,10,Latina,5,Campamento,105,185,0.009556772393842339
2019,10,Latina,6,Cuatro Vientos,106,28,0.004860267314702308
2019,10,Latina,7,Águilas,107,402,0.007775177455853625
2019,11,Carabanchel,1,Comillas,111,143,0.006360361161766668
2019,11,Carabanchel,2,Opañel,112,247,0.007452104389802383
2019,11,Carabanchel,3,San Isidro,113,378,0.009674942411057078
2019,11,Carabanchel,4,Vista Alegre,114,414,0.008976193573565761
2019,11,Carabanchel,5,Puerta Bonita,115,290,0.008293296728437429
2019,11,Carabanchel,6,Buenavista,116,360,0.007632616715430607
2019,11,Carabanchel,7,Abrantes,117,161,0.005220492866407263
2019,12,Usera,1,Orcasitas,121,132,0.005765199161425576
2019,12,Usera,2,Orcasur,122,122,0.008816940088169401
2019,12,Usera,3,San Fermín,123,189,0.007966616084977238
2019,12,Usera,4,Almendrales,124,173,0.008051379904128077
2019,12,Usera,5,Moscardó,125,174,0.006586917019987886
2019,12,Usera,6,Zofío,126,73,0.0052075902411185615
2019,12,Usera,7,Pradolongo,127,193,0.01101283880171184
2019,13,Puente de Vallecas,1,Entrevías,131,295,0.008487254732723402
2019,13,Puente de Vallecas,2,San Diego,132,518,0.012381680849029544
2019,13,Puente de Vallecas,3,Palomeras Bajas,133,331,0.008218497827436375
2019,13,Puente de Vallecas,4,Palomeras Sureste,134,391,0.009162702411360813
2019,13,Puente de Vallecas,5,Portazgo,135,284,0.009990853444030114
2019,13,Puente de Vallecas,6,Numancia,136,540,0.011381839642525926
2019,14,Moratalaz,1,Pavones,141,57,0.006230870135548754
2019,14,Moratalaz,2,Horcajo,142,15,0.0023651844843897824
2019,14,Moratalaz,3,Marroquina,143,157,0.005748178523047633
2019,14,Moratalaz,4,Media Legua,144,133,0.00742063270657814
2019,14,Moratalaz,5,Fontarrón,145,172,0.010008146165483534
2019,14,Moratalaz,6,Vinateros,146,130,0.007689577664734414
2019,15,Ciudad Lineal,1,Ventas,151,519,0.010762722408859027
2019,15,Ciudad Lineal,2,Pueblo Nuevo,152,578,0.009280965991200745
2019,15,Ciudad Lineal,3,Quintana,153,264,0.010697354025689857
2019,15,Ciudad Lineal,4,La Concepción,154,205,0.009794085327982418
