ventana,barrio_nombre,indice_gentrificacion,categoria
A,San Fermín,-0.1838057541747199,4: Quartile 3+4 (no gentrification dynamic)
A,Butarque,-0.1839924905961749,4: Quartile 3+4 (no gentrification dynamic)
A,Entrevías,-0.18560114211886786,4: Quartile 3+4 (no gentrification dynamic)
A,Marroquina,-0.18861156261947062,4: Quartile 3+4 (no gentrification dynamic)
A,Ángeles,-0.1891405163092474,4: Quartile 3+4 (no gentrification dynamic)
A,Abrantes,-0.19277697365821705,4: Quartile 3+4 (no gentrification dynamic)
A,Los Rosales,-0.19683153105425566,4: Quartile 3+4 (no gentrification dynamic)
A,Arcos,-0.20262240042677768,4: Quartile 3+4 (no gentrification dynamic)
A,Pradolongo,-0.20300592506135365,4: Quartile 3+4 (no gentrification dynamic)
A,Águilas,-0.20541286137270512,4: Quartile 3+4 (no gentrification dynamic)
A,San Cristóbal,-0.2272832285596736,4: Quartile 3+4 (no gentrification dynamic)
A,Rosas,-0.23407200233861353,4: Quartile 3+4 (no gentrification dynamic)
A,Pavones,-0.23817199041628517,4: Quartile 3+4 (no gentrification dynamic)
A,Orcasur,-0.2415741249622429,4: Quartile 3+4 (no gentrification dynamic)
A,Alameda de Osuna,-0.24541796769996327,4: Quartile 3+4 (no gentrification dynamic)
A,Horcajo,-0.3469273695397582,4: Quartile 3+4 (no gentrification dynamic)
A,Orcasitas,-0.35455748369990225,4: Quartile 3+4 (no gentrification dynamic)
B,Sol,1.3889206475661091,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Justicia,1.0897073234782109,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Universidad,0.9877558719076049,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Cortes,0.964229621571202,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Embajadores,0.8627729800540411,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Recoletos,0.8210471444856066,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Palacio,0.7585048355659575,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Castellana,0.7568266625580737,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Trafalgar,0.6837336740948803,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Lista,0.6033352533978946,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Almagro,0.575944935464658,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Goya,0.5411111748615991,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Gaztambide,0.5215062252408527,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Arapiles,0.4954241279909958,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Argüelles,0.48317422228786344,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,El Viso,0.4689599060813127,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Ibiza,0.4574488137316592,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Ríos Rosas,0.41007286749711236,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Piovera,0.394389712898381,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Los Jerónimos,0.3942508365559981,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Palos de la Frontera,0.3931857440197137,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Castillejos,0.36655338630969375,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Fuente del Berro,0.35526082006841436,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Cuatro Caminos,0.3538442132936501,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Nueva España,0.3357530949151521,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Guindalera,0.3215444832597582,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Ciudad Jardín,0.2897630022085961,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Delicias,0.24925753567732542,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Vallehermoso,0.247847239149617,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Valdeacederas,0.24474645035703102,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,San Juan Bautista,0.23393532038373197,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
B,Prosperidad,0.2326413408748465,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Berruguete,0.21086514906135304,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
B,Bellas Vistas,0.20691533634169124,3: Quartile 2 (slight gentrification trend)
B,Colina,0.19609312990344813,3: Quartile 2 (slight gentrification trend)
B,Chopera,0.18688711457350657,3: Quartile 2 (slight gentrification trend)
B,Legazpi,0.18532806009058805,3: Quartile 2 (slight gentrification trend)
B,Quintana,0.1822008397268995,3: Quartile 2 (slight gentrification trend)
B,Castilla,0.17475524726107702,3: Quartile 2 (slight gentrification trend)
