anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,poblacion_total_barrio,pob_25_39_barrio,pct_pob_25_39
2018,6,Tetuan,2,Cuatro Caminos,062,34348,8701,0.25331897053685803
2018,6,Tetuan,3,Castillejos,063,20440,5332,0.2608610567514677
2018,6,Tetuan,4,Almenara,064,22498,5287,0.2349986665481376
2018,6,Tetuan,5,Valdeacederas,065,25631,6869,0.2679957863524638
2018,6,Tetuan,6,Berruguete,066,24672,6328,0.25648508430609596
2018,7,Chamberi,1,Gaztambide,071,22742,5406,0.2377099639433647
2018,7,Chamberi,2,Arapiles,072,24417,6082,0.24908874964164313
2018,7,Chamberi,3,Trafalgar,073,24592,6548,0.2662654521795706
2018,7,Chamberi,4,Almagro,074,19852,4359,0.2195748539190006
2018,7,Chamberi,5,Ríos Rosas,075,27114,6725,0.24802684959799365
2018,7,Chamberi,6,Vallehermoso,076,20121,3941,0.19586501664927192
2018,8,Fuencarral-El Pardo,1,El Pardo,081,3481,724,0.20798621085894858
2018,8,Fuencarral-El Pardo,2,Fuentelarreina,082,3242,449,0.13849475632325725
2018,8,Fuencarral-El Pardo,3,Peñagrande,083,44536,8322,0.18686006825938567
2018,8,Fuencarral-El Pardo,4,Pilar,084,46255,9530,0.2060317803480705
2018,8,Fuencarral-El Pardo,5,La Paz,085,33857,6565,0.19390377174587234
2018,8,Fuencarral-El Pardo,6,Valverde,086,62065,12917,0.20812051881092403
2018,8,Fuencarral-El Pardo,7,Mirasierra,087,32092,5235,0.16312476629689643
2018,8,Fuencarral-El Pardo,8,El Goloso,088,18002,3448,0.19153427396955894
2018,9,Moncloa-Aravaca,1,Casa de Campo,091,12951,2481,0.19156821867037294
2018,9,Moncloa-Aravaca,2,Argüelles,092,24059,5357,0.22266095847707718
2018,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,16143,3201,0.1982902806169857
2018,9,Moncloa-Aravaca,4,Valdezarza,094,29497,5793,0.1963928535105265
2018,9,Moncloa-Aravaca,5,Valdemarín,095,6579,962,0.14622283021735827
2018,9,Moncloa-Aravaca,6,El Plantío,096,2737,442,0.16149068322981366
2018,9,Moncloa-Aravaca,7,Aravaca,097,26193,3966,0.1514145000572672
2018,10,Latina,1,Los Cármenes,101,17237,3170,0.18390671230492545
2018,10,Latina,2,Puerta del Angel,102,41537,9384,0.22591906011507812
2018,10,Latina,3,Lucero,103,35573,6841,0.19230877350799763
2018,10,Latina,4,Aluche,104,66110,12127,0.1834366964150658
2018,10,Latina,5,Campamento,105,19045,3967,0.2082961407193489
2018,10,Latina,6,Cuatro Vientos,106,5677,1360,0.2395631495508191
2018,10,Latina,7,Águilas,107,51265,8549,0.16676094801521507
2018,11,Carabanchel,1,Comillas,111,22357,4917,0.21993111777072058
2018,11,Carabanchel,2,Opañel,112,32558,7080,0.21745807482032065
2018,11,Carabanchel,3,San Isidro,113,38669,8226,0.2127285422431405
2018,11,Carabanchel,4,Vista Alegre,114,45106,9219,0.2043852259122955
2018,11,Carabanchel,5,Puerta Bonita,115,34059,6926,0.203353005079421
2018,11,Carabanchel,6,Buenavista,116,46328,8315,0.17948109134864446
2018,11,Carabanchel,7,Abrantes,117,29861,5575,0.18669836911021065
2018,12,Usera,1,Orcasitas,121,22610,3547,0.15687748783724015
2018,12,Usera,2,Orcasur,122,13611,2770,0.20351186540298288
2018,12,Usera,3,San Fermín,123,23274,4348,0.1868179083956346
2018,12,Usera,4,Almendrales,124,21063,4634,0.2200066467264872
2018,12,Usera,5,Moscardó,125,25817,5764,0.22326374094588836
2018,12,Usera,6,Zofío,126,13736,2832,0.20617355853232383
2018,12,Usera,7,Pradolongo,127,17286,4007,0.23180608584982065
2018,13,Puente de Vallecas,1,Entrevías,131,34069,6730,0.1975402858903989
2018,13,Puente de Vallecas,2,San Diego,132,40389,9737,0.24108049221322636
2018,13,Puente de Vallecas,3,Palomeras Bajas,133,39756,7186,0.18075259080390382
2018,13,Puente de Vallecas,4,Palomeras Sureste,134,42242,8534,0.2020264192036362
2018,13,Puente de Vallecas,5,Portazgo,135,28020,5793,0.20674518201284797
2018,13,Puente de Vallecas,6,Numancia,136,46673,10390,0.2226126454266921
2018,14,Moratalaz,1,Pavones,141,9117,1510,0.16562465723373918
2018,14,Moratalaz,2,Horcajo,142,6329,775,0.12245220413967452
2018,14,Moratalaz,3,Marroquina,143,27438,4241,0.15456665937750566
2018,14,Moratalaz,4,Media Legua,144,17817,3177,0.178312847280687
2018,14,Moratalaz,5,Fontarrón,145,16956,3139,0.18512620901155932
2018,14,Moratalaz,6,Vinateros,146,16864,2839,0.16834677419354838
2018,15,Ciudad Lineal,1,Ventas,151,47900,9717,0.20286012526096034
2018,15,Ciudad Lineal,2,Pueblo Nuevo,152,61316,12588,0.20529714919433753
2018,15,Ciudad Lineal,3,Quintana,153,24488,5395,0.22031198954590003
2018,15,Ciudad Lineal,4,La Concepción,154,20872,4163,0.19945381372173246
2018,15,Ciudad Lineal,5,San Pascual,155,18117,3289,0.18154219793564055
