anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,total_hogares,hog_mujer_sola_16_64,hog_hombre_solo_16_64,hog_dos_adultos_sin_menores,hog_dos_adultos_1_menor,hog_dos_adultos_2_menores,hog_dos_adultos_3mas_menores,hog_mujer_adulta_con_menores,hog_hombre_adulto_con_menores
2018,21,Barajas,2,Aeropuerto,212,675,30,75,80,55,39,10,13,5
2018,21,Barajas,3,Casco Histórico de Barajas,213,3064,307,343,483,200,100,18,48,7
2018,21,Barajas,4,Timón,214,4393,420,450,607,470,451,90,174,39
2018,21,Barajas,5,Corralejos,215,2541,186,203,295,246,410,98,109,42
2019,1,Centro,1,Palacio,011,11305,1845,1951,2065,395,244,43,155,31
2019,1,Centro,2,Embajadores,012,22089,3891,4361,4244,702,423,88,336,59
2019,1,Centro,3,Cortes,013,5406,954,1111,986,169,87,20,69,22
2019,1,Centro,4,Justicia,014,8582,1433,1863,1606,259,161,41,117,30
2019,1,Centro,5,Universidad,015,16189,2890,3261,3110,523,313,49,202,40
2019,1,Centro,6,Sol,016,3725,614,805,687,109,47,10,43,12
2019,2,Arganzuela,1,Imperial,021,9633,1062,915,1359,500,478,73,142,23
2019,2,Arganzuela,2,Acacias,022,15442,1700,1319,2036,727,636,128,245,45
2019,2,Arganzuela,3,Chopera,023,8585,934,782,1260,414,271,31,124,26
2019,2,Arganzuela,4,Legazpi,024,7628,827,884,1370,734,813,151,195,49
2019,2,Arganzuela,5,Delicias,025,11525,1320,1205,1756,767,717,94,221,60
2019,2,Arganzuela,6,Palos de la Frontera,026,11768,1602,1537,1880,477,367,51,166,27
2019,2,Arganzuela,7,Atocha,027,424,43,40,57,29,43,10,14,2
2019,3,Retiro,1,Pacífico,031,14665,1561,1305,1921,644,522,113,211,53
2019,3,Retiro,2,Adelfas,032,7613,763,699,1079,471,412,91,141,38
2019,3,Retiro,3,Estrella,033,8691,447,392,682,306,437,162,112,30
2019,3,Retiro,4,Ibiza,034,9268,1052,799,1087,429,414,106,148,37
2019,3,Retiro,5,Los Jerónimos,035,2804,228,284,292,94,107,38,42,8
2019,3,Retiro,6,Niño Jesús,036,5632,345,316,443,250,286,131,83,21
2019,4,Salamanca,1,Recoletos,041,6664,922,838,804,241,187,66,94,30
2019,4,Salamanca,2,Goya,042,13237,1802,1282,1800,550,455,110,185,42
2019,4,Salamanca,3,Fuente del Berro,043,9302,1181,853,1240,417,348,79,156,30
2019,4,Salamanca,4,Guindalera,044,17615,2024,1696,2204,669,708,201,249,58
2019,4,Salamanca,5,Lista,045,9233,1229,943,1184,349,278,105,145,36
2019,4,Salamanca,6,Castellana,046,6900,932,753,803,187,191,87,71,24
2019,5,Chamartin,1,El Viso,051,6082,532,464,642,208,244,100,69,34
2019,5,Chamartin,2,Prosperidad,052,15908,1798,1478,2044,703,602,146,225,60
2019,5,Chamartin,3,Ciudad Jardín,053,8002,927,791,1063,369,308,79,166,25
2019,5,Chamartin,4,Hispanoamérica,054,12381,1145,987,1299,553,592,252,227,50
2019,5,Chamartin,5,Nueva España,055,9227,960,826,981,376,444,254,160,47
2019,5,Chamartin,6,Castilla,056,6640,599,624,775,251,287,135,95,37
2019,6,Tetuan,1,Bellas Vistas,061,11860,1411,1355,1658,547,341,71,158,39
2019,6,Tetuan,2,Cuatro Caminos,062,15031,1901,1615,2036,571,460,117,206,58
2019,6,Tetuan,3,Castillejos,063,9351,1224,1145,1322,367,248,56,105,31
2019,6,Tetuan,4,Almenara,064,9324,1060,1053,1341,440,293,86,169,26
2019,6,Tetuan,5,Valdeacederas,065,10607,1356,1277,1743,580,375,83,191,42
2019,6,Tetuan,6,Berruguete,066,10255,1314,1155,1581,514,354,70,189,34
2019,7,Chamberi,1,Gaztambide,071,10498,1429,1162,1341,368,301,88,122,30
2019,7,Chamberi,2,Arapiles,072,11195,1554,1235,1529,436,351,95,170,22
2019,7,Chamberi,3,Trafalgar,073,11718,1926,1534,1778,463,358,91,163,36
2019,7,Chamberi,4,Almagro,074,8080,950,933,1026,284,291,94,132,28
2019,7,Chamberi,5,Ríos Rosas,075,12139,1596,1332,1661,494,418,124,204,46
2019,7,Chamberi,6,Vallehermoso,076,8383,940,720,859,273,314,108,107,24
2019,8,Fuencarral-El Pardo,1,El Pardo,081,1315,92,86,137,83,60,17,24,7
2019,8,Fuencarral-El Pardo,2,Fuentelarreina,082,1114,48,49,52,30,54,45,17,10
2019,8,Fuencarral-El Pardo,3,Peñagrande,083,16991,1066,1019,1674,793,911,210,367,94
2019,8,Fuencarral-El Pardo,4,Pilar,084,19542,1523,1367,2210,977,686,106,307,38
2019,8,Fuencarral-El Pardo,5,La Paz,085,12550,523,430,960,474,602,130,143,27
2019,8,Fuencarral-El Pardo,6,Valverde,086,22777,1735,2061,2773,2053,2747,787,926,280
2019,8,Fuencarral-El Pardo,7,Mirasierra,087,10568,623,662,906,750,993,491,336,86
2019,8,Fuencarral-El Pardo,8,El Goloso,088,5638,456,522,549,683,1116,416,374,133
