distrito,barrio_registrado,seccion,fecha_alta,procedencia,fecha_baja,destino,fecha_modificacion,barrio_antiguo,observaciones
2,25,105,20091101,052,NA,NA,NA,NA,NA
2,25,106,20091101,098,NA,NA,NA,NA,NA
2,25,112,20171101,097,NA,NA,NA,NA,NA
2,25,113,20220601,105,NA,NA,NA,NA,NA
2,26,64,19880701,NA,NA,NA,NA,NA,NA
2,26,65,19880701,NA,NA,NA,NA,NA,NA
2,26,66,19880701,NA,NA,NA,NA,NA,NA
2,26,67,19880701,NA,NA,NA,NA,NA,NA
2,26,68,19880701,NA,NA,NA,NA,NA,NA
2,26,69,19880701,NA,NA,NA,NA,NA,NA
2,26,70,19880701,NA,NA,NA,NA,NA,NA
2,26,71,19880701,NA,NA,NA,NA,NA,NA
2,26,72,19880701,NA,NA,NA,NA,NA,NA
2,26,73,19880701,NA,NA,NA,NA,NA,NA
2,26,74,19880701,NA,NA,NA,NA,NA,NA
2,26,75,19880701,NA,NA,NA,NA,NA,NA
2,26,76,19880701,NA,19991201,075,NA,NA,NA
2,26,77,19880701,NA,NA,NA,NA,NA,NA
2,26,78,19880701,NA,NA,NA,NA,NA,NA
2,26,79,19880701,NA,NA,NA,NA,NA,NA
2,26,80,19880701,NA,NA,NA,NA,NA,NA
2,26,81,19880701,NA,NA,NA,NA,NA,NA
2,26,82,19880701,NA,NA,NA,NA,NA,NA
2,27,83,19880701,NA,NA,NA,NA,NA,NA
2,27,84,19880701,NA,19900101,083,NA,NA,NA
3,31,1,19880701,NA,NA,NA,NA,NA,NA
3,31,2,19880701,NA,NA,NA,NA,NA,NA
3,31,3,19880701,NA,NA,NA,NA,NA,NA
3,31,4,19880701,NA,NA,NA,NA,NA,NA
3,31,5,19880701,NA,NA,NA,NA,NA,NA
3,31,6,19880701,NA,NA,NA,NA,NA,NA
3,31,7,19880701,NA,NA,NA,NA,NA,NA
3,31,8,19880701,NA,NA,NA,NA,NA,NA
3,31,9,19880701,NA,NA,NA,NA,NA,NA
3,31,10,19880701,NA,NA,NA,NA,NA,NA
3,31,11,19880701,NA,NA,NA,NA,NA,NA
3,31,12,19880701,NA,NA,NA,NA,NA,NA
3,31,13,19880701,NA,NA,NA,NA,NA,NA
3,31,14,19880701,NA,NA,NA,NA,NA,NA
